site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
P403 05DEC13 2005.9493 53717 1353 2 -124.1  -3046 -0.563751   5325357  0.307773   284  0.670271  0.0083 0.000700 0.001019 0.003009  0.000960 -0.110691 -0.158522  48.0623218845 -124.1408751432   284.67027
P403 05DEC14 2005.9521 53718 1353 3 -124.1  -3046 -0.563609   5325357  0.308395   284  0.670559  0.0083 0.000698 0.001030 0.002991  0.016550 -0.090349 -0.156199  48.0623218897 -124.1408751418   284.67056
P403 05DEC22 2005.9740 53726 1354 4 -124.1  -3046 -0.562278   5325357  0.302638   284  0.675293  0.0083 0.000746 0.001055 0.003160 -0.005059 -0.083634 -0.145737  48.0623218351 -124.1408751280   284.67529
P403 05DEC23 2005.9767 53727 1354 5 -124.1  -3046 -0.562797   5325357  0.305648   284  0.672990  0.0083 0.000750 0.001106 0.003179 -0.012608 -0.063052 -0.168910  48.0623218618 -124.1408751355   284.67299
P403 05DEC24 2005.9795 53728 1354 6 -124.1  -3046 -0.566945   5325357  0.299506   284  0.666446  0.0083 0.000747 0.001094 0.003174 -0.004250 -0.093123 -0.166477  48.0623218063 -124.1408751916   284.66645
P403 05DEC25 2005.9822 53729 1355 0 -124.1  -3046 -0.565039   5325357  0.303460   284  0.666293  0.0083 0.000725 0.001061 0.003045  0.009948 -0.078457 -0.151298  48.0623218415 -124.1408751666   284.66629
P403 05DEC26 2005.9849 53730 1355 1 -124.1  -3046 -0.566274   5325357  0.303026   284  0.670217  0.0083 0.000707 0.001063 0.002999 -0.021657 -0.074268 -0.150977  48.0623218372 -124.1408751836   284.67022
P403 05DEC27 2005.9877 53731 1355 2 -124.1  -3046 -0.565493   5325357  0.302240   284  0.666814  0.0083 0.000727 0.001075 0.003165 -0.013490 -0.104227 -0.219996  48.0623218298 -124.1408751737   284.66681
P403 05DEC28 2005.9904 53732 1355 3 -124.1  -3046 -0.564274   5325357  0.305018   284  0.668252  0.0083 0.000726 0.001081 0.003133 -0.000791 -0.082379 -0.209884  48.0623218544 -124.1408751578   284.66825
P403 05DEC29 2005.9932 53733 1355 4 -124.1  -3046 -0.564794   5325357  0.305739   284  0.670151  0.0083 0.000741 0.001072 0.003203 -0.053218 -0.043718 -0.204401  48.0623218606 -124.1408751653   284.67015
P403 05DEC30 2005.9959 53734 1355 5 -124.1  -3046 -0.565266   5325357  0.306187   284  0.669332  0.0083 0.000719 0.001050 0.003029  0.003070 -0.076615 -0.176388  48.0623218642 -124.1408751722   284.66933
P403 05DEC31 2005.9986 53735 1355 6 -124.1  -3046 -0.567073   5325357  0.306712   284  0.679002  0.0083 0.000725 0.001059 0.003079 -0.028428 -0.099456 -0.161291  48.0623218686 -124.1408751969   284.67900
P403 06JAN01 2006.0014 53736 1356 0 -124.1  -3046 -0.565660   5325357  0.304739   284  0.675406  0.0083 0.000726 0.001066 0.003070 -0.013859 -0.068884 -0.130343  48.0623218505 -124.1408751785   284.67541
P403 06JAN02 2006.0041 53737 1356 1 -124.1  -3046 -0.564238   5325357  0.306815   284  0.676256  0.0083 0.000724 0.001068 0.003099 -0.022081 -0.078507 -0.183352  48.0623218689 -124.1408751599   284.67626
P403 06JAN03 2006.0068 53738 1356 2 -124.1  -3046 -0.564922   5325357  0.305154   284  0.671260  0.0083 0.000737 0.001065 0.003130 -0.015821 -0.025431 -0.197865  48.0623218536 -124.1408751696   284.67126
P403 06JAN04 2006.0096 53739 1356 3 -124.1  -3046 -0.563687   5325357  0.307410   284  0.665997  0.0083 0.000724 0.001053 0.003101 -0.013757 -0.054761 -0.196771  48.0623218735 -124.1408751535   284.66600
P403 06JAN05 2006.0123 53740 1356 4 -124.1  -3046 -0.564552   5325357  0.305271   284  0.670666  0.0083 0.000722 0.001061 0.003076 -0.018262 -0.047956 -0.161989  48.0623218539 -124.1408751656   284.67067
